trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",35,0,-342.1824926187892,"{0: 16, 1: 4, 2: 8, 3: 1, 4: 6}",0
2,False,"{'a': 0.5, 'e': 0.98}",20,0,-131.4728857363656,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.97}",25,0,-80.4462603158791,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.96}",35,0,-198.15098386019113,"{0: 16, 1: 7, 2: 10, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.95}",25,0,-132.30022920066344,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.94}",20,0,-86.19037623731717,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9299999999999999}",30,0,-327.05962734148613,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 7}",0
8,False,"{'a': 0.5, 'e': 0.9199999999999999}",25,0,-105.42520977239546,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,0,-137.09828531527842,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-34.4186865224511,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.8899999999999999}",25,0,-46.35707992590864,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,0,-83.11888269690186,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8699999999999999}",20,0,-58.205049360376606,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8599999999999999}",25,19,-1.0224131262201879,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,15,7.510128776491671,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.8399999999999999}",20,0,-123.02527135205207,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8299999999999998}",20,0,-78.8577031783714,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.8199999999999998}",30,5,-28.642496405390528,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.8099999999999998}",30,0,-153.91545587750394,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",1
20,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-104.8627651958531,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.7899999999999998}",20,0,-108.8585305572105,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.7799999999999998}",25,0,-84.89535591498641,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.7699999999999998}",25,0,-103.73204835048607,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.7599999999999998}",25,8,-135.75363958394593,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 3}",1
25,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-38.20534559274686,"{0: 15, 1: 3, 2: 0, 3: 2, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.7399999999999998}",20,0,-97.15609410089924,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.7299999999999998}",25,0,-153.7452736042153,"{0: 12, 1: 5, 2: 4, 3: 3, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.7199999999999998}",20,0,-70.39711298148451,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.7099999999999997}",20,0,-31.948799879383518,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
