trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 1.0}",25,0,-195.62909341917484,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
2,False,"{'a': 0.2, 'e': 0.9900498337491681}",25,0,-134.09386251753514,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
3,False,"{'a': 0.2, 'e': 0.9801986733067553}",25,0,-166.33836045389086,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
4,False,"{'a': 0.2, 'e': 0.9704455335485082}",20,0,-84.38543058628454,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.2, 'e': 0.9607894391523232}",20,0,-133.25919950035777,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
6,False,"{'a': 0.2, 'e': 0.951229424500714}",30,0,-213.12893906127422,"{0: 17, 1: 4, 2: 4, 3: 1, 4: 4}",0
7,False,"{'a': 0.2, 'e': 0.9417645335842487}",30,0,-197.36437441359678,"{0: 15, 1: 5, 2: 7, 3: 0, 4: 3}",0
8,False,"{'a': 0.2, 'e': 0.9323938199059483}",20,0,-178.58813731058484,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
9,False,"{'a': 0.2, 'e': 0.9231163463866358}",20,0,-154.81129624855035,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.2, 'e': 0.9139311852712282}",30,0,-94.72581372594942,"{0: 19, 1: 6, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.2, 'e': 0.9048374180359595}",20,0,-102.28700716296605,"{0: 14, 1: 3, 2: 0, 3: 1, 4: 2}",0
12,False,"{'a': 0.2, 'e': 0.8958341352965282}",30,0,-176.13909707373983,"{0: 16, 1: 2, 2: 10, 3: 0, 4: 2}",0
13,False,"{'a': 0.2, 'e': 0.8869204367171575}",30,0,-208.8030111349332,"{0: 15, 1: 5, 2: 6, 3: 1, 4: 3}",0
14,False,"{'a': 0.2, 'e': 0.8780954309205613}",25,0,-198.23233576124005,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 4}",0
15,False,"{'a': 0.2, 'e': 0.8693582353988059}",25,6,-69.15923050004069,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 1}",1
16,False,"{'a': 0.2, 'e': 0.8607079764250578}",20,0,-111.09117901168469,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
17,False,"{'a': 0.2, 'e': 0.8521437889662113}",25,0,-231.10571577406648,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
18,False,"{'a': 0.2, 'e': 0.8436648165963837}",25,0,-144.1939770945987,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
19,False,"{'a': 0.2, 'e': 0.835270211411272}",25,0,-138.6501488080829,"{0: 12, 1: 5, 2: 5, 3: 2, 4: 1}",0
20,False,"{'a': 0.2, 'e': 0.8269591339433623}",20,0,-118.46323900705151,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
21,False,"{'a': 0.2, 'e': 0.8187307530779818}",30,0,-136.20022831643905,"{0: 18, 1: 1, 2: 9, 3: 1, 4: 1}",0
22,False,"{'a': 0.2, 'e': 0.8105842459701871}",25,0,-81.69155502235056,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
23,False,"{'a': 0.2, 'e': 0.8025187979624785}",30,8,-96.77179327767634,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 2}",1
24,False,"{'a': 0.2, 'e': 0.794533602503334}",25,0,-84.77033992484714,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
25,False,"{'a': 0.2, 'e': 0.7866278610665535}",30,0,-127.84641888340201,"{0: 17, 1: 3, 2: 9, 3: 0, 4: 1}",0
26,False,"{'a': 0.2, 'e': 0.7788007830714049}",25,0,-144.91673844383345,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
27,False,"{'a': 0.2, 'e': 0.7710515858035663}",20,0,-201.66856979758398,"{0: 10, 1: 2, 2: 2, 3: 3, 4: 3}",0
28,False,"{'a': 0.2, 'e': 0.7633794943368531}",20,0,-39.62854609455574,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
29,False,"{'a': 0.2, 'e': 0.7557837414557255}",25,8,-23.404507124506,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 0}",1
30,False,"{'a': 0.2, 'e': 0.7482635675785653}",20,0,-103.15127065863787,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
31,False,"{'a': 0.2, 'e': 0.7408182206817179}",30,0,-114.33479256222013,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
32,False,"{'a': 0.2, 'e': 0.7334469562242892}",25,1,-117.46365791009873,"{0: 15, 1: 2, 2: 3, 3: 3, 4: 1}",1
33,False,"{'a': 0.2, 'e': 0.7261490370736909}",20,3,-50.03011439423183,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 1}",1
34,False,"{'a': 0.2, 'e': 0.7189237334319262}",30,0,-91.2302467100875,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
35,False,"{'a': 0.2, 'e': 0.7117703227626097}",20,0,-32.83781003141885,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
36,False,"{'a': 0.2, 'e': 0.7046880897187134}",20,0,-31.37980522261652,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
37,False,"{'a': 0.2, 'e': 0.697676326071031}",30,0,-226.72039356128712,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 5}",0
38,False,"{'a': 0.2, 'e': 0.6907343306373547}",25,4,-61.650946707263394,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 1}",1
39,False,"{'a': 0.2, 'e': 0.6838614092123558}",30,14,5.081111853957789,"{0: 13, 1: 3, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.2, 'e': 0.6770568744981647}",30,0,-79.07181223888848,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
41,False,"{'a': 0.2, 'e': 0.6703200460356393}",20,0,-53.29991334894365,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
42,False,"{'a': 0.2, 'e': 0.6636502501363194}",20,0,-50.09901363337803,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
43,False,"{'a': 0.2, 'e': 0.6570468198150567}",25,11,-44.767151189619774,"{0: 8, 1: 1, 2: 5, 3: 0, 4: 0}",1
44,False,"{'a': 0.2, 'e': 0.6505090947233165}",20,9,-59.917730392879946,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 1}",1
45,False,"{'a': 0.2, 'e': 0.6440364210831414}",20,0,-68.08387657769744,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
46,False,"{'a': 0.2, 'e': 0.6376281516217733}",25,0,-159.76777148901076,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
47,False,"{'a': 0.2, 'e': 0.631283645506926}",20,0,-62.59128160740363,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
48,False,"{'a': 0.2, 'e': 0.6250022682827008}",20,4,-17.66952549112289,"{0: 14, 1: 0, 2: 0, 3: 2, 4: 0}",1
49,False,"{'a': 0.2, 'e': 0.6187833918061408}",25,0,-47.7943265029776,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
50,False,"{'a': 0.2, 'e': 0.6126263941844161}",20,0,-62.932348652845135,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
51,False,"{'a': 0.2, 'e': 0.6065306597126334}",25,0,-42.30278139326627,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
52,False,"{'a': 0.2, 'e': 0.6004955788122659}",20,0,-10.935933126688536,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
53,False,"{'a': 0.2, 'e': 0.5945205479701944}",20,3,-48.354915736985724,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
54,False,"{'a': 0.2, 'e': 0.5886049696783552}",20,16,6.988463416784932,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.2, 'e': 0.5827482523739896}",20,0,-30.674967120071372,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
